epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6770.13,0.80259,2.84457,1.07163,0.7734,0.71672,0.74328,0.58926,0.73032,2.06365,1.06059,8.73346e-05,8.73346e-05,8.73346e-05
2,13451.1,0.73299,1.27174,1.02808,0.87311,0.75873,0.80471,0.64792,0.74275,1.24192,1.03743,0.000167782,0.000167782,0.000167782
3,19573.1,0.73294,1.02252,1.03652,0.85034,0.75796,0.78979,0.6213,0.77661,1.24077,1.0732,0.000240998,0.000240998,0.000240998
4,25869.2,0.72209,0.9068,1.02697,0.78632,0.80096,0.81391,0.66304,0.708,1.16799,1.03924,0.000230454,0.000230454,0.000230454
5,32134.6,0.67301,0.80269,1.00548,0.84972,0.80995,0.84993,0.70212,0.69811,0.93201,1.04116,0.000219605,0.000219605,0.000219605
6,38801.6,0.65787,0.69112,0.9932,0.88023,0.81471,0.85481,0.7062,0.68012,0.94459,1.00818,0.000208756,0.000208756,0.000208756
7,44194.3,0.627,0.64024,0.98027,0.83542,0.84757,0.85393,0.7194,0.64122,0.92822,0.9952,0.000197907,0.000197907,0.000197907
8,49549.6,0.6174,0.60017,0.97027,0.85548,0.82866,0.8532,0.72452,0.6312,0.91864,0.99608,0.000187059,0.000187059,0.000187059
9,54524.7,0.59235,0.58007,0.96384,0.89991,0.81855,0.86091,0.73259,0.63138,0.80353,0.99417,0.00017621,0.00017621,0.00017621
10,59537.8,0.59067,0.53532,0.96234,0.87895,0.83237,0.86834,0.74652,0.60747,0.90733,0.97537,0.000165361,0.000165361,0.000165361
11,64505.1,0.56515,0.50182,0.94592,0.872,0.84903,0.87172,0.75591,0.60132,0.84718,0.96524,0.000154512,0.000154512,0.000154512
12,69490.9,0.5485,0.47666,0.94307,0.92803,0.8344,0.87016,0.75384,0.58833,0.83592,0.97271,0.000143664,0.000143664,0.000143664
13,74471.8,0.54054,0.44826,0.9326,0.89161,0.85384,0.88054,0.76714,0.58705,0.76475,0.96907,0.000132815,0.000132815,0.000132815
14,79475.2,0.525,0.4486,0.92739,0.87837,0.84724,0.87207,0.77104,0.57247,0.79585,0.95276,0.000121966,0.000121966,0.000121966
15,84462.4,0.48419,0.35659,0.90268,0.85856,0.85599,0.87244,0.76881,0.55483,0.75024,0.95113,0.000111117,0.000111117,0.000111117
16,89425.2,0.47788,0.34426,0.89779,0.86251,0.8622,0.88204,0.77892,0.56682,0.75603,0.95341,0.000100269,0.000100269,0.000100269
17,94393.5,0.46313,0.32081,0.89165,0.87738,0.87099,0.88693,0.7866,0.54001,0.68978,0.93999,8.942e-05,8.942e-05,8.942e-05
18,99409,0.45289,0.31037,0.88811,0.89863,0.86853,0.88988,0.79145,0.53844,0.64124,0.93872,7.85712e-05,7.85712e-05,7.85712e-05
19,104390,0.43991,0.29326,0.87773,0.88636,0.88436,0.89656,0.79876,0.53554,0.66284,0.92723,6.77225e-05,6.77225e-05,6.77225e-05
20,109353,0.42883,0.28041,0.86554,0.87374,0.88639,0.89519,0.80162,0.5232,0.70556,0.92145,5.68738e-05,5.68738e-05,5.68738e-05
21,114337,0.42246,0.27218,0.86145,0.8852,0.88463,0.89469,0.80395,0.51952,0.64617,0.91829,4.6025e-05,4.6025e-05,4.6025e-05
22,120222,0.40951,0.26181,0.86552,0.90941,0.86484,0.8942,0.80487,0.51699,0.67875,0.92241,3.51763e-05,3.51763e-05,3.51763e-05
23,126000,0.40824,0.25158,0.86081,0.8874,0.88708,0.89424,0.80628,0.50797,0.66243,0.91366,2.43275e-05,2.43275e-05,2.43275e-05
24,132776,0.39628,0.23998,0.85293,0.87871,0.89116,0.89551,0.81103,0.50076,0.67208,0.91056,1.34787e-05,1.34787e-05,1.34787e-05
