epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1186.97,0.9291,4.51691,1.06359,0.48399,0.37587,0.32241,0.25013,0.7941,3.75284,1.00077,8.73346e-05,8.73346e-05,8.73346e-05
2,2240.3,0.83606,2.89956,1.01729,0.66052,0.64285,0.66759,0.52761,0.75088,2.92881,0.98081,0.000166339,0.000166339,0.000166339
3,3292.42,0.80252,2.24694,1.01008,0.73527,0.73203,0.75398,0.59394,0.76593,2.50606,0.99926,0.000236664,0.000236664,0.000236664
4,4342.23,0.76854,1.82951,0.99727,0.80769,0.77992,0.80637,0.65103,0.71537,2.05732,0.98914,0.000223945,0.000223945,0.000223945
5,5389.85,0.71302,1.5479,0.96971,0.78172,0.81795,0.83135,0.68007,0.70444,1.89124,0.96776,0.000210926,0.000210926,0.000210926
6,6432.33,0.68823,1.33562,0.96394,0.85558,0.80153,0.84802,0.70242,0.67598,1.62743,0.95922,0.000197907,0.000197907,0.000197907
7,7476.15,0.65702,1.22372,0.9459,0.85573,0.82563,0.86195,0.7257,0.65439,1.51039,0.94678,0.000184889,0.000184889,0.000184889
8,8519.13,0.64683,1.10873,0.94141,0.85274,0.83158,0.84385,0.71409,0.63587,1.43896,0.94186,0.000171871,0.000171871,0.000171871
9,9560.57,0.62197,1.03758,0.93478,0.85257,0.84425,0.8593,0.73165,0.63719,1.3525,0.95305,0.000158852,0.000158852,0.000158852
10,10601.5,0.61399,0.95968,0.92992,0.84035,0.84915,0.84924,0.73201,0.62502,1.25248,0.92579,0.000145834,0.000145834,0.000145834
11,11634.8,0.54854,0.89613,0.89,0.85842,0.86414,0.8635,0.74491,0.60866,1.18141,0.91784,0.000132815,0.000132815,0.000132815
12,12663.4,0.52981,0.81086,0.88256,0.8523,0.85516,0.85787,0.73723,0.61631,1.14776,0.92489,0.000119796,0.000119796,0.000119796
13,13696,0.51624,0.76496,0.87304,0.86702,0.85517,0.87521,0.75756,0.57326,1.04232,0.90321,0.000106778,0.000106778,0.000106778
14,14728.3,0.50391,0.70953,0.86889,0.84344,0.857,0.8692,0.75486,0.58861,1.05942,0.90537,9.37595e-05,9.37595e-05,9.37595e-05
15,15757.9,0.48812,0.67135,0.85946,0.88044,0.86731,0.88018,0.77333,0.55564,0.98912,0.89458,8.0741e-05,8.0741e-05,8.0741e-05
16,16789.9,0.47824,0.63568,0.86049,0.89907,0.86759,0.8877,0.78317,0.55329,0.96834,0.89442,6.77225e-05,6.77225e-05,6.77225e-05
17,17823.2,0.46627,0.60842,0.85365,0.88287,0.87174,0.88902,0.78517,0.54499,0.91386,0.88955,5.4704e-05,5.4704e-05,5.4704e-05
18,18879.2,0.46041,0.58555,0.85369,0.9084,0.86426,0.88957,0.78934,0.54551,0.90651,0.88915,4.16855e-05,4.16855e-05,4.16855e-05
19,19910.3,0.44926,0.56493,0.84693,0.89675,0.87083,0.88986,0.78848,0.53827,0.87102,0.88836,2.8667e-05,2.8667e-05,2.8667e-05
20,20944.3,0.44209,0.55266,0.84289,0.89964,0.86996,0.88676,0.78889,0.52889,0.90344,0.88476,1.56485e-05,1.56485e-05,1.56485e-05
