epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5375.01,0.74488,3.38449,0.96005,0.80063,0.74684,0.82142,0.73216,0.54617,2.00137,0.84423,9.5242e-05,9.5242e-05,9.5242e-05
2,11208.5,0.59571,1.55511,0.89624,0.87965,0.88103,0.90469,0.80772,0.50222,1.24127,0.83354,0.000181142,0.000181142,0.000181142
3,15684.4,0.55581,1.07378,0.88408,0.92439,0.91718,0.93915,0.84672,0.46644,0.80165,0.82184,0.000257604,0.000257604,0.000257604
4,19687,0.5288,0.81147,0.87252,0.916,0.92638,0.94951,0.86397,0.43369,0.62143,0.81907,0.000243529,0.000243529,0.000243529
5,23708.7,0.49977,0.6788,0.86758,0.95067,0.93896,0.96361,0.88116,0.41821,0.50545,0.80883,0.000229372,0.000229372,0.000229372
6,27689.8,0.48593,0.60049,0.86283,0.95391,0.94977,0.96938,0.89272,0.3984,0.43718,0.80181,0.000215215,0.000215215,0.000215215
7,31662.3,0.46316,0.54187,0.85805,0.95917,0.96142,0.97656,0.90247,0.38511,0.39033,0.80203,0.000201058,0.000201058,0.000201058
8,35679.2,0.44812,0.50052,0.85239,0.98165,0.93485,0.9781,0.90551,0.37995,0.36244,0.79703,0.000186901,0.000186901,0.000186901
9,39691,0.43878,0.4692,0.84806,0.96469,0.95796,0.97521,0.90889,0.36525,0.34945,0.79413,0.000172744,0.000172744,0.000172744
10,43696.4,0.42563,0.45045,0.84552,0.96487,0.96049,0.97887,0.9123,0.36479,0.32489,0.79242,0.000158587,0.000158587,0.000158587
11,48085.9,0.3777,0.35507,0.80644,0.9653,0.96392,0.9803,0.91569,0.35594,0.30957,0.79011,0.00014443,0.00014443,0.00014443
12,52408.8,0.36291,0.32849,0.80431,0.97849,0.95945,0.98204,0.9205,0.34509,0.28895,0.78745,0.000130273,0.000130273,0.000130273
13,56594.5,0.35357,0.31341,0.80101,0.98197,0.95078,0.98209,0.92153,0.33937,0.27432,0.78428,0.000116116,0.000116116,0.000116116
14,60894.7,0.34512,0.29712,0.79725,0.97078,0.9648,0.98318,0.92639,0.33362,0.26667,0.78438,0.000101959,0.000101959,0.000101959
15,65279.1,0.33502,0.28289,0.79673,0.97498,0.96343,0.98359,0.92731,0.32767,0.25818,0.78275,8.7802e-05,8.7802e-05,8.7802e-05
16,69556.6,0.32752,0.27268,0.79487,0.97405,0.96646,0.9829,0.92774,0.32359,0.25225,0.7815,7.3645e-05,7.3645e-05,7.3645e-05
17,73828.6,0.31756,0.26226,0.79213,0.97868,0.96418,0.98545,0.932,0.31724,0.24508,0.78054,5.9488e-05,5.9488e-05,5.9488e-05
18,78549.1,0.31145,0.25244,0.79158,0.97828,0.96501,0.98526,0.93253,0.31514,0.23786,0.7799,4.5331e-05,4.5331e-05,4.5331e-05
19,83259.8,0.30307,0.24354,0.78885,0.97435,0.97154,0.98602,0.93534,0.30785,0.22916,0.77832,3.1174e-05,3.1174e-05,3.1174e-05
20,88641,0.29577,0.2352,0.78746,0.97645,0.96915,0.98633,0.93554,0.30627,0.22573,0.778,1.7017e-05,1.7017e-05,1.7017e-05
